Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
1/02/2015,Su,14.9,21.7,0,,,S,43,15:23,16.8,68,,S,15,1018.1,20.4,51,,S,20,1017.8,1/02/2015/02/2015
2/02/2015,Mo,14.7,23.8,0,11.8,,SSE,43,16:41,16.3,62,,SSE,17,1022.3,22.6,41,,S,24,1021.7,2/02/2015/02/2015
3/02/2015,Tu,12.5,28.6,0,6.6,,S,37,19:33,17.1,60,,SW,7,1023.6,28,31,,S,15,1020.4,3/02/2015/02/2015
4/02/2015,We,13.3,25.9,0,6.6,,SSE,39,19:07,16.9,60,,ESE,11,1022.1,24.1,36,,SSW,13,1019.4,4/02/2015/02/2015
5/02/2015,Th,12.5,29.6,0,5,,SE,39,1:27,17.5,51,,SE,7,1021.7,26.2,34,,WSW,19,1019.1,5/02/2015/02/2015
6/02/2015,Fr,14.9,37.9,0,6.4,,WSW,37,17:19,25.6,36,,Calm,,1019.8,36.6,16,,WSW,17,1017,6/02/2015/02/2015
7/02/2015,Sa,21.8,38.5,0,,,SW,35,17:37,31.1,27,,NE,13,1017.6,37.4,21,,WSW,19,1015.4,7/02/2015/02/2015
8/02/2015,Su,18.3,33.1,0,,,S,30,15:06,22,54,,W,4,1021.6,32.5,27,,S,17,1020.7,8/02/2015/02/2015
9/02/2015,Mo,15.5,30.7,0,24.8,,WSW,28,13:40,20.5,54,,E,4,1023.9,29.3,34,,WSW,17,1021.7,9/02/2015/02/2015
10/02/2015,Tu,12.8,33.9,0,6.8,,SW,31,15:26,22.3,27,,W,6,1021.8,31.9,21,,SW,13,1019.6,10/02/2015/02/2015
11/02/2015,We,18.3,34.6,0,7.8,,SW,43,13:14,26.1,23,,NW,6,1019.3,33.1,16,,S,19,1018.4,11/02/2015/02/2015
12/02/2015,Th,18.9,37.4,0,7.2,,WSW,26,12:20,23.6,47,,SW,6,1020.8,33.7,33,,WSW,9,1016.7,12/02/2015/02/2015
13/02/2015,Fr,21.5,34.6,0,6.6,,ESE,50,21:21,26.9,48,,SW,15,1017.9,33.1,31,,SE,7,1016,13/02/2015/02/2015
14/02/2015,Sa,26.5,41.6,0,,,NNE,37,5:58,30.8,30,,NNE,9,1015.2,39.4,15,,NNW,17,1013.4,14/02/2015/02/2015
15/02/2015,Su,28.8,38.6,0,,,WSW,48,15:14,34.8,20,,N,19,1011.8,36.3,24,,WSW,19,1012,15/02/2015/02/2015
16/02/2015,Mo,17.9,28.3,0,23,,WSW,44,14:14,20.2,55,,S,15,1019.3,25.5,48,,SW,26,1017.1,16/02/2015/02/2015
17/02/2015,Tu,13.8,29.6,0,,,SSE,37,16:01,19.2,61,,NNE,2,1018.4,26.5,43,,WSW,19,1016.2,17/02/2015/02/2015
18/02/2015,We,14.4,30.8,0,,,SE,28,14:25,19.7,61,,WNW,6,1018.9,29.5,31,,E,13,1016.3,18/02/2015/02/2015
19/02/2015,Th,18,36.9,0,6.4,,WSW,30,15:13,24.8,47,,N,7,1015.8,35.7,17,,WSW,17,1012.9,19/02/2015/02/2015
20/02/2015,Fr,23.9,38.8,0,,,NE,31,3:57,26.2,46,,N,6,1013.8,38,21,,WSW,19,1011.4,20/02/2015/02/2015
21/02/2015,Sa,25.8,39.5,0,18,,N,35,11:46,30.8,33,,NE,13,1011.2,38.6,20,,W,20,1008.9,21/02/2015/02/2015
22/02/2015,Su,23.4,40,0,,,W,35,4:30,27.3,52,,NNE,7,1010.4,39.3,20,,W,17,1008.5,22/02/2015/02/2015
2/23/15,Mo,20.6,,0,,,,,,22.2,61,,S,20,1015.3,,,,,,,2/23/15/02/2015
1/01/2015,Th,15.1,37,0,,12.3,WNW,31,14:58,23.9,43,,SW,11,1012.1,34.2,20,,NNW,9,1009.3,1/01/2015/01/2015
2/01/2015,Fr,23.2,44.1,0,,13.1,NW,41,11:19,34.9,12,,N,17,1009.4,42.8,10,,NW,20,1006.7,2/01/2015/01/2015
3/01/2015,Sa,24.4,38.2,0,,8.9,SW,56,14:44,29.2,33,,SSW,15,1005.8,35.4,17,,S,28,1007.3,3/01/2015/01/2015
