Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
1/02/2015,Su,20.3,34.4,17.2,7.8,12.8,ENE,24,17:07,26.8,71,1,SW,4,1007.6,34.2,26,1,SW,7,1003.6,1/02/2015/02/2015
2/02/2015,Mo,22.1,29.6,0,5.6,8.8,SSE,43,20:35,26.8,66,6,SSE,9,1010,27.9,56,2,ESE,17,1008.5,2/02/2015/02/2015
3/02/2015,Tu,20.7,,2.2,7.2,5.7,,,,26.8,64,7,S,6,1012.3,28.8,52,5,SE,13,1009.8,3/02/2015/02/2015
4/02/2015,We,19.8,28.6,,7.4,9.5,ESE,41,15:45,25.2,55,3,S,7,1012,26.1,58,3,ESE,17,1010.7,4/02/2015/02/2015
5/02/2015,Th,20.7,29.2,0,6.8,9.6,SSE,39,10:59,26.5,50,4,SE,15,1017.6,28.3,51,3,ESE,15,1016.9,5/02/2015/02/2015
6/02/2015,Fr,20.2,28.3,2.8,8.8,10.4,SSE,37,9:16,25.6,60,5,SE,17,1022.6,27.9,44,1,ESE,17,1020.7,6/02/2015/02/2015
7/02/2015,Sa,19.5,29.3,0.2,11,11.2,E,26,15:31,22.3,73,7,SSE,11,1023.5,27,54,7,E,11,1019.9,7/02/2015/02/2015
8/02/2015,Su,20.8,29.9,0.2,7.4,11.9,ENE,22,15:40,25.9,60,2,SSE,4,1020.5,28.7,58,1,ENE,11,1017.8,8/02/2015/02/2015
9/02/2015,Mo,19.6,30.3,0,6.4,12.5,SE,33,18:10,26.7,61,3,SE,9,1019.5,29.6,45,3,E,17,1018.2,9/02/2015/02/2015
10/02/2015,Tu,20.6,29,5.2,9,9.4,ESE,39,14:46,24.6,80,2,SE,7,1020.5,22.6,89,7,E,13,1019.6,10/02/2015/02/2015
11/02/2015,We,20.3,28.9,12.2,8,9,E,30,13:29,22.5,82,6,S,9,1020.2,28.5,47,1,ESE,11,1017.6,11/02/2015/02/2015
12/02/2015,Th,20.6,28.9,8.4,7.2,9.6,E,28,10:42,26.6,68,7,ESE,7,1019.3,28.4,54,4,ESE,11,1017.2,12/02/2015/02/2015
13/02/2015,Fr,20.2,29.6,1.6,7.4,8.2,ESE,35,14:18,26.4,70,5,ESE,11,1019.7,25.7,68,6,E,17,1018.7,13/02/2015/02/2015
14/02/2015,Sa,19.8,29,0.4,6.6,10.2,SSE,30,10:59,26.1,65,5,SE,9,1021.4,28,49,3,E,15,1017.9,14/02/2015/02/2015
15/02/2015,Su,21.1,28.8,0.2,8.4,9.5,E,24,14:27,24.1,72,6,W,4,1018.5,27.9,49,3,E,11,1014.9,15/02/2015/02/2015
16/02/2015,Mo,19.5,29.4,0.4,8,11.8,ESE,26,12:03,26.8,62,3,SE,7,1016.8,28.3,48,3,E,13,1013.6,16/02/2015/02/2015
17/02/2015,Tu,20.1,29.1,0.4,9,11.6,SE,33,17:12,26.2,60,6,ESE,11,1016.2,26.3,62,4,SE,11,1014.8,17/02/2015/02/2015
18/02/2015,We,20.2,29.2,0.2,8.2,5.9,ESE,35,10:19,27.6,60,5,ESE,15,1016.4,24.3,86,5,ESE,9,1014.8,18/02/2015/02/2015
19/02/2015,Th,22.5,26.8,4.6,5.2,0,SE,33,12:54,25.5,79,8,ESE,13,1016.5,24.6,89,8,ESE,13,1014.2,19/02/2015/02/2015
20/02/2015,Fr,21.8,22.6,54,4.8,0,SE,30,7:58,22.4,95,8,SSE,2,1012.3,22,95,8,SW,6,1009.8,20/02/2015/02/2015
21/02/2015,Sa,21.4,27.3,89.2,6,0,SSE,37,12:21,22,96,8,S,6,1007.3,23.9,96,8,SSE,9,1003.7,21/02/2015/02/2015
22/02/2015,Su,22,31.4,68.4,11.6,7.5,SSE,28,18:07,27.2,66,7,SSW,11,1009.5,26.9,79,7,SE,7,1008.7,22/02/2015/02/2015
2/23/15,Mo,22.6,,4.4,4.6,,,,,26.6,72,7,SSE,9,1011.6,,,,,,,2/23/15/02/2015
1/01/2015,Th,25.2,31.3,12.2,7,12.1,E,26,13:52,29.4,67,5,NNE,6,1014.9,30.2,64,4,NE,13,1012.7,1/01/2015/01/2015
2/01/2015,Fr,24.8,30.5,0.2,9,10.3,ENE,28,17:33,28.1,68,5,NE,9,1018.2,27.8,69,7,NE,13,1016.6,2/01/2015/01/2015
3/01/2015,Sa,24.6,28.9,1.2,4.2,4.2,E,35,22:50,25.6,82,8,ENE,6,1019.4,28.3,64,6,NE,11,1017.3,3/01/2015/01/2015
4/01/2015,Su,21.1,30.2,16.8,7.6,12,ENE,26,15:53,27.6,59,4,E,9,1018,28.8,53,3,ENE,13,1014.5,4/01/2015/01/2015
5/01/2015,Mo,21.8,28.1,0,8.8,3.8,ESE,20,10:16,26.8,69,7,ESE,6,1015.9,23.7,80,7,SSW,4,1015.2,5/01/2015/01/2015
6/01/2015,Tu,21.5,29.5,21.6,5.8,12.1,E,33,14:37,26.9,62,7,ESE,15,1017.5,28.5,48,3,E,17,1016.4,6/01/2015/01/2015
7/01/2015,We,20.6,27.1,0,9,3.6,SSE,33,9:19,26.9,64,7,SE,15,1017.7,26.3,59,7,ESE,9,1016.1,7/01/2015/01/2015
8/01/2015,Th,19.8,28.4,1.8,5.6,3.9,E,31,12:40,25.5,68,6,SE,11,1016,25.7,70,7,E,7,1013.4,8/01/2015/01/2015
9/01/2015,Fr,20.8,29.5,3.6,4.2,11.8,E,26,14:12,26.8,63,4,E,4,1013.4,28.8,60,2,ENE,13,1010.5,9/01/2015/01/2015
10/01/2015,Sa,22.1,30.2,0,7.6,10.9,NE,28,17:38,28,63,3,NE,11,1012.8,29.1,55,6,ENE,13,1010.9,10/01/2015/01/2015
11/01/2015,Su,23.4,28.2,0,7.8,0.9,ENE,19,19:30,26.8,76,7,W,4,1011.6,26.8,75,7,E,9,1008,11/01/2015/01/2015
12/01/2015,Mo,22.5,30.4,14.6,4.2,1.1,ESE,31,14:20,25.9,81,8,SW,4,1009.9,23.5,94,8,ESE,6,1007.5,12/01/2015/01/2015
13/01/2015,Tu,22.6,28.4,38.6,2.6,2.2,ENE,24,12:37,26.4,78,7,E,7,1009.7,26.9,69,7,NE,13,1007,13/01/2015/01/2015
14/01/2015,We,24.5,30.3,0.2,4.8,3.9,,,,27,64,7,N,6,1006.9,29.1,68,7,NE,13,1003.6,14/01/2015/01/2015
15/01/2015,Th,24.4,36,,3.8,11.1,W,37,15:14,29.5,66,6,W,11,1004.6,35.3,37,3,W,20,1001.2,15/01/2015/01/2015
16/01/2015,Fr,23.1,32.5,0,10.4,13.1,ENE,24,17:15,29.2,56,1,SSW,4,1008.8,30.8,60,1,NE,13,1006,16/01/2015/01/2015
17/01/2015,Sa,24,35.3,0,8,12.7,ENE,24,18:11,29,67,1,WSW,6,1009.4,32,60,3,NNE,9,1005.6,17/01/2015/01/2015
18/01/2015,Su,25.9,36.7,0,8,11.7,E,30,14:43,31,65,3,SSW,6,1009.5,33.5,52,2,ENE,13,1005.7,18/01/2015/01/2015
19/01/2015,Mo,26.5,31.8,0,7.6,9.3,ENE,31,14:36,29.6,71,4,SE,13,1008.7,30.6,58,3,ENE,15,1006.8,19/01/2015/01/2015
20/01/2015,Tu,20.6,29.2,35.8,10.8,9.4,ESE,35,12:52,25.9,67,7,ENE,13,1012.7,27.5,58,6,E,17,1008.8,20/01/2015/01/2015
21/01/2015,We,21.3,30,0.2,7.4,8,E,28,15:41,23.6,82,7,SSE,6,1009.9,27.6,64,7,ESE,13,1007.7,21/01/2015/01/2015
22/01/2015,Th,23.2,28.6,1,9.2,2.1,ENE,31,16:00,27.6,67,8,ESE,7,1009.6,26.4,77,8,E,13,1008,22/01/2015/01/2015
23/01/2015,Fr,22,24.8,100.4,3.4,0,SE,37,20:57,22,93,8,Calm,,1008.3,22.5,95,8,SE,6,1005.7,23/01/2015/01/2015
24/01/2015,Sa,20,30.8,65.2,3,5.4,ESE,22,11:52,24.8,84,8,SE,7,1006.3,30.3,59,6,E,2,1004.4,24/01/2015/01/2015
25/01/2015,Su,22.1,36.7,0,3.4,12.6,W,28,12:19,29.3,67,1,WNW,4,1006.2,32.2,59,2,NE,9,1002.6,25/01/2015/01/2015
26/01/2015,Mo,24.9,33.1,0,6.2,7.8,ESE,30,17:06,31,66,3,ENE,4,1006.8,32,54,6,ESE,15,1004.9,26/01/2015/01/2015
27/01/2015,Tu,23.7,30.2,0,7.8,9.2,E,30,10:33,28.5,62,5,ESE,9,1007.7,28.1,63,5,E,13,1005,27/01/2015/01/2015
28/01/2015,We,19.5,28.1,5.2,7.2,1,SSE,33,16:36,21,85,7,SW,7,1006.8,26.1,61,8,SSE,11,1005.4,28/01/2015/01/2015
29/01/2015,Th,20.4,28.9,0,4.6,11,E,26,14:56,24.8,53,5,SSW,7,1008.9,26.6,58,3,E,15,1006.4,29/01/2015/01/2015
30/01/2015,Fr,20.2,29,3.8,7.8,11.2,NE,22,17:49,25.2,63,6,NE,4,1009.9,28.3,58,2,NNE,9,1006.3,30/01/2015/01/2015
31/01/2015,Sa,19.8,31.8,0,7.4,11.4,SSE,33,17:08,26.8,62,1,E,6,1008.2,29.8,62,2,NE,13,1003.5,31/01/2015/01/2015
1/12/2014,Mo,19.1,28.4,0,7.6,11.4,NNE,26,16:28,25.1,51,3,ENE,7,1015.3,26.8,46,1,NE,11,1012.2,1/12/2014/12/2014
2/12/2014,Tu,21.6,29.1,0,9.6,6.1,ENE,24,16:30,25.8,64,7,NE,9,1016.4,26.5,54,5,NE,11,1014.4,2/12/2014/12/2014
3/12/2014,We,20.2,29.8,0.2,8,12.5,ENE,31,14:35,27.1,59,3,N,2,1017.8,27.5,62,3,NE,15,1014.7,3/12/2014/12/2014
4/12/2014,Th,22.7,30.3,0,7.8,9.9,NE,33,16:54,27.6,59,6,NNW,9,1016.8,28,57,7,NE,15,1013.2,4/12/2014/12/2014
