Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/02/2015,Su,,,,6.6,0.3,S,50,18:01,,,,WSW,19,,,,,SSW,28,
2/02/2015,Mo,,,,3.4,7.7,SSE,50,16:29,,,,SSW,17,,,,,SSE,30,
3/02/2015,Tu,,,,5,8.6,SSE,44,14:08,,,,SSW,15,,,,,S,17,
4/02/2015,We,,,,8,6.7,S,46,6:39,,,,SSE,30,,,,,S,28,
5/02/2015,Th,,,,5.6,12.9,S,37,17:11,,,,W,4,,,,,S,20,
6/02/2015,Fr,,,,8.2,11.9,NE,48,16:49,,,,N,9,,,,,N,24,
7/02/2015,Sa,,,,14.4,5.9,N,72,7:16,,,,N,46,,,,,NW,26,
8/02/2015,Su,,,,12.8,5.8,S,39,16:58,,,,SSW,22,,,,,SSE,22,
9/02/2015,Mo,,,,4.2,12.6,SSW,35,14:19,,,,SSE,24,,,,,SSW,19,
10/02/2015,Tu,,,,6.8,12.5,NNE,41,9:58,,,,WSW,7,,,,,S,22,
11/02/2015,We,,,,8.6,11.1,N,54,8:28,,,,N,20,,,,,SSE,19,
12/02/2015,Th,,,,9.2,7,SSE,35,8:44,,,,SE,24,,,,,S,17,
13/02/2015,Fr,,,,7.4,6.1,N,54,8:43,,,,NNE,28,,,,,N,24,
14/02/2015,Sa,,,,7,8.9,SSE,41,15:45,,,,W,9,,,,,SSE,20,
15/02/2015,Su,,,,5,11.4,N,44,21:39,,,,NE,15,,,,,ENE,9,
16/02/2015,Mo,,,,10.6,12.4,WSW,43,0:30,,,,SW,17,,,,,SSE,24,
17/02/2015,Tu,,,,10.8,0.7,S,31,8:28,,,,SSE,20,,,,,S,17,
18/02/2015,We,,,,2.2,0.5,SSE,30,14:10,,,,S,13,,,,,SSE,19,
19/02/2015,Th,,,,3,10.4,S,33,14:06,,,,WNW,7,,,,,SSE,19,
20/02/2015,Fr,,,,6.6,12.7,S,33,13:22,,,,SW,6,,,,,S,24,
21/02/2015,Sa,,,,7.2,11.1,S,56,16:22,,,,ENE,15,,,,,WNW,19,
22/02/2015,Su,,,,12.4,2.7,N,63,7:55,,,,N,48,,,,,N,26,
2/23/15,Mo,,,,10.8,,,,,,,,N,46,,,,,,,
1/01/2015,Th,14,27.3,0,7.6,10.3,SSE,37,16:17,17.6,67,,SSW,24,1013.9,23.7,42,,NE,13,1013.6
2/01/2015,Fr,15.9,39.4,0,5.2,10.4,N,54,12:06,20.8,87,,NE,9,1014.5,37.7,10,5,N,30,1010.1
3/01/2015,Sa,20.8,38.4,0,23.8,8.6,NNE,85,14:09,30.5,30,,N,54,1012.1,37.4,17,,N,50,1006.9
4/01/2015,Su,16.4,23.9,5.4,16.8,7.8,N,70,0:33,16.8,82,,S,20,1017.9,21.8,48,,SSE,20,1017.7
5/01/2015,Mo,15.6,23.9,0.2,6.4,10.3,SSE,35,11:08,18.4,58,7,SSE,15,1020.3,22.4,58,7,SSE,17,1019.4
6/01/2015,Tu,17.6,,0,6.6,11.6,S,35,14:55,20.7,64,3,ENE,7,1020.2,,,,SSE,22,
7/01/2015,We,,,,8,11.8,N,61,17:36,,,,N,35,,,,,W,24,
8/01/2015,Th,,,,14.4,1.1,N,61,7:09,,,,WNW,17,,,,,WSW,33,
9/01/2015,Fr,,,,4,0,S,31,17:57,,,,S,11,,,,,S,17,
10/01/2015,Sa,,,,4.2,0,S,26,13:29,,,,W,7,,,,,S,15,
11/01/2015,Su,,,,1.2,8.3,S,43,15:49,,,,SE,26,,,,,SSE,19,
12/01/2015,Mo,,,,6,13.3,SSE,41,14:41,,,,W,7,,,,,SSE,20,
13/01/2015,Tu,,,,9.4,3.1,N,65,15:55,,,,NNE,24,,,,,NNE,31,
14/01/2015,We,,,,4.8,2.1,SW,57,14:22,,,,WSW,28,,,,,WSW,35,
15/01/2015,Th,,,,5,1.6,W,39,3:41,,,,WSW,26,,,,,S,24,
16/01/2015,Fr,,,,4.2,11.7,W,50,13:30,,,,NW,9,,,,,WNW,30,
17/01/2015,Sa,,,,9.6,11.7,W,50,9:49,,,,WSW,31,,,,,WSW,28,
18/01/2015,Su,,,,10.6,5.4,SSE,46,13:58,,,,SW,24,,,,,S,28,
19/01/2015,Mo,,,,8,10,SE,39,9:56,,,,SE,17,,,,,S,22,
20/01/2015,Tu,,,,9.8,0.9,N,63,8:34,,,,N,39,,,,,N,33,
21/01/2015,We,,,,6.6,11.1,N,52,8:21,,,,NNE,24,,,,,NNW,17,
22/01/2015,Th,,,,11.4,10,S,50,17:32,,,,Calm,,,,,,NNW,24,
23/01/2015,Fr,,,,10.2,12,SSE,44,14:35,,,,S,11,,,,,SSE,31,
24/01/2015,Sa,,,,9.6,13.1,S,37,13:03,,,,N,6,,,,,SSE,24,
