Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/02/2015,Su,20.9,33.8,0,10.2,5.2,NW,57,19:54,23.1,50,7,ESE,11,1014.3,32.8,30,3,ESE,13,1011.6
2/02/2015,Mo,19.7,31.9,9.6,8.6,4.8,ESE,46,23:27,25.6,56,7,ENE,11,1014.4,22.6,90,7,SE,9,1015.1
3/02/2015,Tu,20.1,39.1,11.8,4,6.5,NE,50,20:21,23.1,72,7,Calm,,1016.8,36.9,19,7,ENE,15,1011.2
4/02/2015,We,19.8,32.6,1.6,8.2,12.6,ENE,31,0:01,28.5,49,2,NE,11,1015,30.2,45,1,W,13,1013.8
5/02/2015,Th,18.9,30.9,0,8,12.2,SW,35,15:23,25.4,66,2,SSW,9,1015.8,27.8,52,1,WSW,17,1014.8
6/02/2015,Fr,18.5,29.7,0,9.8,12.3,SSW,39,15:24,22.9,60,0,SE,15,1018.8,27.3,52,0,SSW,20,1015.9
7/02/2015,Sa,19.2,32.8,0,9.2,12.5,ESE,33,0:50,23.6,54,0,E,13,1018.3,31.4,41,0,SW,15,1014.5
8/02/2015,Su,20.6,39.5,0,9.6,12.5,ESE,30,0:16,27.4,52,1,E,11,1015,38.1,24,1,WSW,11,1012.7
9/02/2015,Mo,19.9,33.7,0,9.2,12,WSW,24,11:56,26,67,1,S,7,1018.3,32.5,39,1,WSW,11,1017.3
10/02/2015,Tu,18.5,34.9,0,8.8,12.4,SW,33,17:26,27.4,58,2,S,9,1019.1,31.2,46,4,WSW,15,1017.6
11/02/2015,We,20,36.4,0,10.6,12.4,E,35,8:25,25.1,51,4,E,13,1020,34.7,33,1,SSW,13,1015.6
12/02/2015,Th,21.9,30.3,0,9.8,6.7,ENE,26,4:47,25.1,57,7,ENE,9,1015.2,28.2,49,7,SW,11,1012.6
13/02/2015,Fr,21.5,26.9,0,4.8,6.7,SW,31,15:47,24,77,7,NW,9,1010.5,24.5,63,7,SW,15,1009.9
14/02/2015,Sa,19.1,24.4,0.4,6.4,10.5,SW,43,17:05,21.6,54,5,SSW,13,1017.2,23.2,45,0,SSW,22,1016.8
15/02/2015,Su,14.9,29.4,0,10,12.6,SSE,33,3:07,20.3,46,0,ESE,13,1021,26.4,41,0,WSW,17,1016.4
16/02/2015,Mo,17.1,34,0,9.8,11.6,E,35,5:19,22.5,49,5,E,13,1015.8,33.1,33,6,SW,15,1012.2
17/02/2015,Tu,18.6,32.5,0,8.8,1.2,E,28,9:02,27.3,39,7,E,13,1012.4,31.9,35,8,SSW,7,1012
