Date,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),
1/02/2015,Su,19.3,26.6,0,9.4,7,SE,37,13:06,22,75,7,SSW,9,1009.5,24.2,55,6,ESE,19,1009.3,
2/02/2015,Mo,18,25,3.4,6.6,8.7,SSE,61,15:13,19.6,81,7,SSW,19,1015.5,23.4,59,2,S,35,1015.9,
3/02/2015,Tu,18.5,26.5,1,8.6,9.8,SSE,43,13:13,20.1,72,5,SW,17,1020.1,25.7,45,2,SE,24,1017.5,
4/02/2015,We,17.3,25.6,1.2,6.4,6.6,SSE,43,14:00,20.1,70,7,W,15,1015.7,22.9,58,6,SSE,30,1015.7,
5/02/2015,Th,18.6,24.3,7.4,7.2,0.5,ESE,46,1:03,21.9,59,7,ESE,20,1023.2,22.5,54,7,ESE,13,1024.1,
6/02/2015,Fr,17.6,25.6,0.2,4.2,7.8,ESE,31,10:20,20.5,80,7,W,9,1027.7,23.6,53,7,ESE,15,1026.2,
7/02/2015,Sa,18.8,26.5,0,5.4,6.9,ENE,35,16:38,20.3,77,8,WNW,9,1025.2,26,50,4,ENE,22,1021.8,
8/02/2015,Su,18.9,32.1,0,5.6,12.2,E,26,12:45,23.3,71,0,W,9,1018.9,28.3,58,1,E,22,1017,
9/02/2015,Mo,22.7,25.9,0,8,1.2,S,46,4:25,23.7,76,7,S,20,1023.8,25.3,66,7,SE,20,1023.9,
10/02/2015,Tu,21.5,28.2,0,5.8,7.7,ENE,33,18:42,24,82,5,WNW,6,1024.6,27.7,65,3,E,19,1023.1,
11/02/2015,We,22.8,28.6,0.2,5.8,11.3,ENE,41,17:47,25.8,72,6,ENE,17,1023.6,27.1,59,2,E,28,1021,
12/02/2015,Th,21,28.8,0,8,10,ESE,37,15:36,26.1,62,1,SE,4,1021.8,27.6,61,5,ESE,26,1021,
13/02/2015,Fr,20.4,28.1,6.8,7.8,4.6,ENE,31,19:52,22.1,94,7,WNW,7,1024.2,25.1,61,5,ESE,19,1023.3,
14/02/2015,Sa,20.4,27.2,4.4,5,6.7,ENE,39,13:20,23.1,82,2,W,7,1023.1,26.9,55,7,NE,17,1019.9,
15/02/2015,Su,20.3,29.4,0.6,5.6,8.8,NE,37,18:11,22.4,85,7,N,4,1017,26.4,59,3,ENE,20,1014.8,
16/02/2015,Mo,22.1,28,0,8,11.1,NE,46,17:20,25.4,62,3,NE,19,1016.9,26.8,57,7,NE,28,1015.7,
17/02/2015,Tu,21.9,27.8,0,8.4,12.2,NE,48,15:24,25.7,59,3,NNE,19,1019,26.1,56,2,ENE,31,1017.6,
